fecha,titulo,sumario,LastModificationDate,Id,PublicationDate,Url,Nodes_en,AuthorName
03-12-2024,Moreno Baldivieso inaugura nuevas oficinas en Green Tower Santa Cruz y es nombrada Mejor Firma de abogados del país,La firma de abogados líder en Bolivia fundada en 1931 en la ciudad de La Paz. El reconocimiento que recibió es considerado el equivalente a un Oscar en el mundo del Derecho ,2024-12-02T22:41:47.087Z,393957,2024-12-03T13:00:00Z,moreno-baldivieso-inaugura-nuevas-oficinas-en-green-tower-santa-cruz-y-es-nombrada-mejor-firma-de-ab,Te Puede Interesar,Hans Montaño Nuñez
03-12-2024,AXS Bolivia S.A. extiende su irresistible oferta comercial: Internet de alta velocidad + primera mensualidad por solo Bs 99,"Esta oferta exclusiva aplica a sus servicios de AXS+ y AXS Net, brindándote acceso a una conexión de internet ultrarrápida y estable con opciones de velocidad de 80, 90 o 100 megas, adaptadas a las necesidades de tu hogar.",2024-12-02T22:25:34.93Z,393956,2024-12-03T13:00:00Z,axs-bolivia-sa-extiende-su-irresistible-oferta-comercial-internet-de-alta-velocidad-primera-mensuali,Te Puede Interesar,
03-12-2024,"En Bolivia la importación de combustibles 
casi se duplica en los últimos tres años","Del 2021 al 2023 el valor subió de $us 1.589 millones a $us 2.848 millones, un 179% más. La importación de combustibles está detrás de la importación de suministros industriales.",2024-12-03T13:39:18.657Z,393976,2024-12-03T13:00:00Z,en-bolivia-la-importacion-de-combustibles-casi-se-duplica-en-los-ultimos-tres-anos,"ECONOMÍA, Dinero",Juan Carlos Fortún
03-12-2024,"Goni sentenciado: Gobierno celebra ""fallo histórico"" y apunta a extradición",El expresidente y sus colaboradores fueron sentenciados por el caso Petrocontratos.,2024-12-03T22:03:50.113Z,393997,2024-12-03T12:57:00Z,goni-sentenciado-gobierno-celebra-fallo-historico-y-apunta-a-extradicion,PAÍS ,EL DEBER
03-12-2024,¿Cómo es el nuevo formato del repechaje para el Mundial 2026?,"En anteriores ediciones, el repechaje era un duelo directo, en partidos de ida y vuelta, con una selección de otro continente, pero para el Mundial de 2026 el formato cambió. ¡Mirá!",2024-12-03T12:43:12.593Z,393996,2024-12-03T12:38:00Z,como-es-el-nuevo-formato-del-repechaje-para-el-mundial-2026,Fútbol,Pedro Rivero de Ugarte
03-12-2024,De veterinario a artista musical: la inspiradora historia de Andy Aguilera ," En una entrevista exclusiva, Andy compartió detalles de su vida y de sus inicios en su carrera como artista profesional ",2024-12-03T13:08:58.797Z,393995,2024-12-03T12:31:00Z,de-veterinario-a-artista-musical-la-inspiradora-historia-de-andy-aguilera,GENTE,EL DEBER
03-12-2024,Santa Cruz: entre el caos del transporte público y la urgencia de un plan de movilidad urbana,"Los distritos más afectados por las lluvias y la precariedad de la infraestructura son el seis y el siete, zonas bajas con servicios limitados",2024-12-03T12:51:44.093Z,393994,2024-12-03T12:24:00Z,santa-cruz-entre-el-caos-del-transporte-publico-y-la-urgencia-de-un-plan-de-movilidad-urbana,Santa Cruz,EL DEBER
03-12-2024,Suben gastos presidenciales en algo más de Bs 300.000 en el Presupuesto para el 2025,"Los costos de operación para el avión presidencial se mantienen para el próximo año en medio de las críticas, en contraste, hay recortes en la Renta Universal de Vejez o Renta Dignidad para una porción de ancianos que recibían ese beneficio",2024-12-04T01:44:52.483Z,393993,2024-12-03T12:22:00Z,suben-gastos-presidenciales-en-algo-mas-de-bs-300000-en-el-presupuesto-para-el-2025,PAÍS ,Yolanda Mamani Cayo
03-12-2024,"Desborde del río Chijllawiri inunda Colcapirhua en Cochabamba, van 13 municipios afectados por las lluvias en el país",Las últimas precipitaciones anegó la avenida Blanco Galindo en Cochabamba,2024-12-03T20:11:20.197Z,393988,2024-12-03T12:19:00Z,desborde-del-rio-chijllawiri-inunda-colcapirhua-en-cochabamba-van-13-municipios-afectados-por-las-ll,PAÍS ,EL DEBER
03-12-2024,GV San José buscará reencontrarse con la victoria a costa de FC Universitario,El cuadro orureño viene de perder 4-2 en su visita a Oriente Petrolero y desea levantarse ante su gente. El duelo correspondiente a la fecha 25 se jugará desde las 15:00 en el estadio Jesús Bermúdez.,2024-12-03T12:25:22.923Z,393992,2024-12-03T12:16:00Z,gv-san-jose-buscara-reencontrarse-con-la-victoria-a-costa-de-fc-universitario,Fútbol,Pedro Rivero de Ugarte
03-12-2024,San Antonio y Nacional Potosí se citan en Entre Ríos,"El encuentro entre cochabambinos y potosinos, correspondiente a la fecha 25 del torneo Clausura, se jugará desde las 16:00 en el estadio Carlos Villegas de Entre Ríos.",2024-12-03T18:20:02.573Z,393991,2024-12-03T12:11:00Z,san-antonio-y-nacional-potosi-se-citan-en-entre-rios,Fútbol,Pedro Rivero de Ugarte
